GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.messaging,InventoryEventKafkaConsumer.EventProcessingException,0,9,0,0,0,4,0,2,0,2
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.messaging,InventoryEventKafkaConsumer,7,146,1,3,1,25,1,5,0,4
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.messaging,InventoryEventKafkaConsumer.EventDeserializationException,0,5,0,0,0,2,0,1,0,1
Central Inventory Service,com.inventory.management.central.application.usecase,GetStoreInventoryUseCase.StoreInventoryStats.StoreInventoryStatsBuilder,0,80,0,0,0,22,0,9,0,9
Central Inventory Service,com.inventory.management.central.application.usecase,GetStoreInventoryUseCase,2,400,5,43,0,86,5,31,0,12
Central Inventory Service,com.inventory.management.central.application.usecase,GetCentralInventoryUseCase,0,257,3,29,0,61,3,23,0,10
Central Inventory Service,com.inventory.management.central.application.usecase,GetStoreInventoryUseCase.StoreInventoryStats,0,52,0,0,0,18,0,10,0,10
Central Inventory Service,com.inventory.management.central.domain.service,InventoryEventProcessingService,28,603,3,41,6,121,3,30,0,9
Central Inventory Service,com.inventory.management.central.domain.model,InventoryEvent,9,297,9,27,0,37,8,46,0,36
Central Inventory Service,com.inventory.management.central.domain.model,CentralInventory,40,224,6,18,1,33,13,32,8,25
Central Inventory Service,com.inventory.management.central.domain.model,InventoryEvent.EventType,0,33,0,0,0,6,0,1,0,1
Central Inventory Service,com.inventory.management.central.domain.model,StoreInventory,7,283,7,17,0,41,6,44,0,38
Central Inventory Service,com.inventory.management.central.domain.model,InventoryEvent.InventoryEventBuilder,0,122,0,0,0,1,0,15,0,15
Central Inventory Service,com.inventory.management.central.domain.model,InventoryEvent.ProcessingStatus,0,27,0,0,0,5,0,1,0,1
Central Inventory Service,com.inventory.management.central.domain.model,CentralInventory.CentralInventoryBuilder,25,84,0,0,0,1,1,13,1,13
Central Inventory Service,com.inventory.management.central.domain.model,GlobalInventory.GlobalInventoryBuilder,25,84,0,0,0,1,1,13,1,13
Central Inventory Service,com.inventory.management.central.domain.model,GlobalInventory,11,253,7,17,0,31,6,39,0,33
Central Inventory Service,com.inventory.management.central.domain.model,StoreInventory.StoreInventoryBuilder,26,94,0,0,0,5,1,15,1,15
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.web,CentralInventoryController.StockAvailabilityResponse.StockAvailabilityResponseBuilder,0,35,0,0,0,10,0,6,0,6
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.web,CentralInventoryController.StockAvailabilityResponse,0,31,0,0,0,11,0,6,0,6
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.web,EventAdminController,0,223,0,2,0,57,0,13,0,12
Central Inventory Service,com.inventory.management.central.infrastructure.adapter.in.web,CentralInventoryController,5,174,1,5,1,46,1,14,0,12
Central Inventory Service,com.inventory.management.central,CentralInventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
Central Inventory Service,com.inventory.management.central.infrastructure.config,JacksonConfig,0,24,0,0,0,6,0,2,0,2
Central Inventory Service,com.inventory.management.central.infrastructure.config,RateLimitConfig.RateLimiter,0,111,0,6,0,26,0,6,0,3
Central Inventory Service,com.inventory.management.central.infrastructure.config,KafkaConfig,0,134,0,0,0,27,0,4,0,4
